"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","5","1","      89,000","11305"," 미아동","811","2011","두산위브트레지움","114.88","7"
"2","2021","5","3","      66,250","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","15"
"3","2021","5","3","      67,000","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","19"
"4","2021","5","3","      14,450","11305"," 미아동","160-3","2014","푸르지오시티","18.6479","18"
"5","2021","5","4","      97,000","11305"," 미아동","813","2010","래미안트리베라1단지","84.97","10"
"6","2021","5","4","      80,000","11305"," 미아동","1353","2004","에스케이북한산시티","84.76","16"
"7","2021","5","5","      75,000","11305"," 미아동","1357","2003","삼각산아이원","84.705","3"
"8","2021","5","8","      60,000","11305"," 미아동","1354","2004","벽산라이브파크","60","1"
"9","2021","5","8","      86,800","11305"," 미아동","811","2011","두산위브트레지움","84.99","1"
"10","2021","5","8","      82,500","11305"," 미아동","1354","2004","벽산라이브파크","114.68","1"
"11","2021","5","8","      77,500","11305"," 미아동","1354","2004","벽산라이브파크","114.68","2"
"12","2021","5","8","      91,000","11305"," 미아동","811","2011","두산위브트레지움","84.97","20"
"13","2021","5","8","     105,000","11305"," 미아동","812","2010","삼성래미안트리베라2단지","84.29","13"
"14","2021","5","8","      94,500","11305"," 미아동","1353","2004","에스케이북한산시티","114.85","17"
"15","2021","5","9","     107,500","11305"," 미아동","4","2017","꿈의숲롯데캐슬","84.98","3"
"16","2021","5","10","      90,000","11305"," 미아동","811","2011","두산위브트레지움","84.97","4"
"17","2021","5","11","     100,500","11305"," 미아동","813","2010","래미안트리베라1단지","84.97","8"
"18","2021","5","12","      89,700","11305"," 미아동","811","2011","두산위브트레지움","84.97","4"
"19","2021","5","13","      66,800","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","9"
"20","2021","5","13","      87,900","11305"," 미아동","811","2011","두산위브트레지움","84.99","3"
"21","2021","5","14","      73,000","11305"," 미아동","1356","2003","경남아너스빌(1356-0)","59.964","6"
"22","2021","5","14","      75,900","11305"," 미아동","1357","2003","삼각산아이원","84.705","4"
"23","2021","5","14","      38,900","11305"," 미아동","1361","2013","이너스내안에","47.82","6"
"24","2021","5","14","      81,000","11305"," 미아동","1353","2004","에스케이북한산시티","84.92","20"
"25","2021","5","15","      74,900","11305"," 미아동","1357","2003","삼각산아이원","84.705","1"
"26","2021","5","15","      99,000","11305"," 미아동","812","2010","삼성래미안트리베라2단지","84.18","4"
"27","2021","5","15","     117,500","11305"," 미아동","811","2011","두산위브트레지움","114.88","7"
"28","2021","5","15","      68,800","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","18"
"29","2021","5","15","      65,000","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","2"
"30","2021","5","15","      68,000","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","25"
"31","2021","5","16","      80,500","11305"," 미아동","1353","2004","에스케이북한산시티","84.92","10"
"32","2021","5","17","     118,000","11305"," 미아동","812","2010","삼성래미안트리베라2단지","113.89","8"
"33","2021","5","17","      79,000","11305"," 미아동","1353","2004","에스케이북한산시티","84.76","25"
"34","2021","5","18","      67,000","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","18"
"35","2021","5","18","      68,000","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","14"
"36","2021","5","19","      75,000","11305"," 미아동","1353","2004","에스케이북한산시티","84.76","2"
"37","2021","5","19","      70,500","11305"," 미아동","796","2008","경남아너스빌","84.9898","5"
"38","2021","5","19","      73,900","11305"," 미아동","1355","2002","미아한일유앤아이","84.552","9"
"39","2021","5","19","     101,000","11305"," 미아동","813","2010","래미안트리베라1단지","84.97","5"
"40","2021","5","21","      77,500","11305"," 미아동","1357","2003","삼각산아이원","84.705","7"
"41","2021","5","22","     102,500","11305"," 미아동","1369","2019","꿈의숲해링턴플레이스","84.67","3"
"42","2021","5","22","      97,000","11305"," 미아동","1357","2003","삼각산아이원","114.88","21"
"43","2021","5","22","      78,000","11305"," 미아동","1353","2004","에스케이북한산시티","84.76","7"
"44","2021","5","22","      66,500","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","2"
"45","2021","5","24","      90,000","11305"," 미아동","4","2017","꿈의숲롯데캐슬","59.99","10"
"46","2021","5","25","      79,500","11305"," 미아동","1353","2004","에스케이북한산시티","84.76","17"
"47","2021","5","26","     108,500","11305"," 미아동","812","2010","삼성래미안트리베라2단지","84.15","22"
"48","2021","5","27","      90,500","11305"," 미아동","1353","2004","에스케이북한산시티","114.85","4"
"49","2021","5","27","      57,000","11305"," 미아동","1354","2004","벽산라이브파크","59.67","5"
"50","2021","5","28","      67,700","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","12"
"51","2021","5","28","      73,400","11305"," 미아동","1355","2002","미아한일유앤아이","84.552","4"
"52","2021","5","29","      67,000","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","4"
"53","2021","5","29","      84,000","11305"," 미아동","474","2006","미아동부센트레빌","59.96","8"
"54","2021","5","30","      82,700","11305"," 미아동","1369","2019","꿈의숲해링턴플레이스","59.36","1"
"55","2021","5","1","      48,000","11305"," 번동","242","1991","주공1단지","41.3","1"
"56","2021","5","1","      62,500","11305"," 번동","658","2000","한진","84.97","9"
"57","2021","5","3","      65,000","11305"," 번동","133-1","1992","번동한양아파트","84.67","11"
"58","2021","5","4","      51,000","11305"," 번동","242","1991","주공1단지","41.3","15"
"59","2021","5","5","      54,000","11305"," 번동","148-494","1997","현대(148-494)","84.9","13"
"60","2021","5","5","      77,700","11305"," 번동","242","1991","주공1단지","79.07","7"
"61","2021","5","5","      52,000","11305"," 번동","234","1991","주공4단지","49.94","15"
"62","2021","5","7","      48,500","11305"," 번동","242","1991","주공1단지","41.3","11"
"63","2021","5","9","      78,500","11305"," 번동","411","2009","수유역두산위브2","84.9909","12"
"64","2021","5","12","      54,500","11305"," 번동","470-1","1998","삼성","59.77","11"
"65","2021","5","13","      50,500","11305"," 번동","242","1991","주공1단지","41.3","13"
"66","2021","5","18","      52,800","11305"," 번동","242","1991","주공1단지","41.3","9"
"67","2021","5","18","      55,000","11305"," 번동","470-1","1998","삼성","59.77","17"
"68","2021","5","24","      57,300","11305"," 번동","136","1999","번동솔그린","84.6","1"
"69","2021","5","24","      65,000","11305"," 번동","234","1991","주공4단지","76.51","1"
"70","2021","5","25","      56,000","11305"," 번동","139","2003","해모로아파트","59.98","11"
"71","2021","5","27","      48,000","11305"," 번동","148-494","1997","현대(148-494)","84.9","7"
"72","2021","5","29","      55,000","11305"," 번동","657","1998","동문","59.64","13"
"73","2021","5","31","      65,000","11305"," 번동","242","1991","주공1단지","49.94","7"
"74","2021","5","1","      26,500","11305"," 수유동","738","2020","한원힐트리움수유","26.52","15"
"75","2021","5","4","      10,900","11305"," 수유동","733","2014","수유역하이씨티","12.19","10"
"76","2021","5","5","      22,800","11305"," 수유동","77-9","2011","태솔타운","36.65","4"
"77","2021","5","13","      58,000","11305"," 수유동","553-61","1992","극동","84.99","13"
"78","2021","5","13","      49,100","11305"," 수유동","63","1998","수유삼호","114.42","8"
"79","2021","5","14","      71,300","11305"," 수유동","205","1993","수유벽산1차","84.95","14"
"80","2021","5","15","      52,700","11305"," 수유동","553-61","1992","극동","71.3","5"
"81","2021","5","20","      32,900","11305"," 수유동","338-1","2008","삼성타운","71.77","6"
"82","2021","5","25","      26,100","11305"," 수유동","50-20","2012","태솔캡슬","49.37","8"
"83","2021","5","26","      59,300","11305"," 수유동","730","2001","래미안수유","59.88","2"
"84","2021","5","27","      74,000","11305"," 수유동","205","1993","수유벽산1차","84.92","7"
"85","2021","5","31","      10,500","11305"," 수유동","461-13","1975","화계맨숀","58.51","5"
"86","2021","5","31","      15,000","11305"," 수유동","279-74","2018","수유다우아트리체","14.73","5"
"87","2021","5","1","      56,500","11305"," 우이동","342","2000","대우","59.94","5"
"88","2021","5","3","      51,000","11305"," 우이동","1","1990","성원상떼빌","84.98","14"
