카테고리,회사명,제품,가격,사용시간,흡입력
핸디스틱청소기,삼성전자,비스포크 제트 VS20A956A3,458920,60.0,210.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9982,1038980,60.0,220.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20B956AX,539990,60.0,220.0
핸디스틱청소기,일렉트로룩스,에르고라피도 ZB3512IG,160080,35.0,168.0
핸디스틱청소기,LG전자,코드제로 A9S AT9200BA,576860,60.0,200.0
핸디스틱청소기,삼성전자,제트 VS20T92K3QD,359980,60.0,200.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20A956AVW,439070,60.0,210.0
핸디스틱청소기,다이슨,V10 앱솔루트,468880,60.0,
핸디스틱청소기,샤오미,드리미 V10,157730,60.0,220.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9882,1035510,60.0,220.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957D4,719780,60.0,220.0
핸디스틱청소기,아이닉,NEW i20,179000,50.0,300.0
핸디스틱청소기,다이슨,V10 플러피 오리진,484930,60.0,151.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20B956D5,619510,60.0,220.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20A957D2,608000,60.0,210.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AT9201WB,671260,60.0,210.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9602WD,824780,60.0,220.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957E5,764810,60.0,220.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20B956BUE,565730,60.0,220.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AO9571,928800,60.0,210.0
핸디스틱청소기,다이슨,Gen5 디텍트™ 컴플리트,1320150,70.0,262.0
핸디스틱청소기,LG전자,코드제로 A9S AS9271,573140,60.0,210.0
핸디스틱청소기,LG전자,코드제로 A9S AT9271,691080,60.0,210.0
핸디스틱청소기,다이슨,V12 디텍트 슬림 컴플리트,870300,60.0,150.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9972,1108360,60.0,220.0
핸디스틱청소기,LG전자,코드제로 A9S AS9200BA,521330,60.0,200.0
핸디스틱청소기,일렉트로룩스,WELL Q6 WQ61-1EDB,179200,45.0,200.0
핸디스틱청소기,LG전자,코드제로 A9S AT9270,665552,60.0,200.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AT9201WBK,687140,60.0,210.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AT9401WC,716890,60.0,210.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957F5,755100,60.0,220.0
핸디스틱청소기,DIBEA,차이슨 ALLNEW22000 스노우화이트,179000,40.0,400.0
핸디스틱청소기,샤오미,미지아 K10,162470,65.0,150.0
핸디스틱청소기,LG전자,코드제로 A9S AT9471,792100,60.0,210.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AT9271,811750,60.0,210.0
핸디스틱청소기,다이슨,옴니 글라이드 컴플리트,461080,20.0,50.0
핸디스틱청소기,삼성전자,에어본 VC-H71,56860,12.0,120.0
핸디스틱청소기,일렉트로룩스,WELL Q7 WQ71-2OIBF,227020,50.0,80.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20A957D3,591090,60.0,210.0
핸디스틱청소기,LG전자,코드제로 A9S AS9270IA,578630,60.0,200.0
핸디스틱청소기,일렉트로룩스,퓨어 Q9 PQ91-2OG,237280,50.0,120.0
핸디스틱청소기,샤오미,COCLEAN V30,123600,60.0,250.0
핸디스틱청소기,LG전자,코드제로 A9S AS9201IB,544830,60.0,210.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957D5,717930,60.0,220.0
핸디스틱청소기,DIBEA,차이슨 ALLNEW29000,239000,48.0,390.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20A956E3,613350,60.0,210.0
핸디스틱청소기,다이슨,V15 디텍트 컴플리트,1160860,60.0,240.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20A956AVE,499500,60.0,220.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9672WD,948990,60.0,220.0
핸디스틱청소기,삼성전자,파워스틱 VS02R6512JG,167910,60.0,220.0
핸디스틱청소기,LG전자,코드제로 A9S AT9370BA,795470,60.0,200.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AO9471WKT,827470,60.0,210.0
핸디스틱청소기,에어메이드,스마트포스 AMC-3500,189000,45.0,370.0
핸디스틱청소기,캐치웰,CX PRO,329000,60.0,80.0
핸디스틱청소기,다이슨,V11 앱솔루트,750500,60.0,185.0
핸디스틱청소기,아이닉,i20 엘리트,149000,50.0,180.0
핸디스틱청소기,신일전자,SVC-PB195BUP,93790,35.0,55.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20A957E3,693780,60.0,210.0
핸디스틱청소기,일렉트로룩스,퓨어 Q9 파워프로 PQ92-3OBF,278220,53.0,210.0
핸디스틱청소기,일렉트로룩스,Well Q6 Pet WQ61-1PSH,193000,45.0,210.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957G5,954900,60.0,220.0
핸디스틱청소기,다이슨,V12 디텍트 슬림 앱솔루트 엑스트라,942170,60.0,150.0
핸디스틱청소기,원더스리빙,원더스 다이나킹 Z24,139000,50.0,280.0
핸디스틱청소기,일렉트로룩스,에르고라피도 파워프로 ZB3411,188090,48.0,
핸디스틱청소기,삼성전자,제트 VS20T92K0BF,430950,60.0,200.0
핸디스틱청소기,보쉬,GAS18V-1,73790,42.0,200.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9872,980600,60.0,220.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9802WD,902090,60.0,220.0
핸디스틱청소기,다이슨,디지털 슬림 컴플리트,601590,40.0,100.0
핸디스틱청소기,캐치웰,C10 PRO,379080,60.0,100.0
핸디스틱청소기,일렉트로룩스,에르고라피도 파워프로 ZB3414AK,184990,48.0,55.0
핸디스틱청소기,샤오미,드리미 V9,104360,60.0,200.0
핸디스틱청소기,샤오미,TROUVER SOLO10,77320,48.0,180.0
핸디스틱청소기,테팔,에어포스360 라이트 이지 TY5520,233150,33.0,180.0
핸디스틱청소기,무궁화전자,바로바로 MC-B250,38960,20.0,60.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9872MPD,957390,60.0,220.0
핸디스틱청소기,일렉트로룩스,에르고라피도 ZB3511DB,178100,35.0,220.0
핸디스틱청소기,일렉트로룩스,퓨어 Q9 파워프로 PQ92-3BWF,366340,53.0,220.0
핸디스틱청소기,LG전자,코드제로 A9S AT9300IA,699390,60.0,200.0
핸디스틱청소기,다이슨,V15 디텍트 앱솔루트 엑스트라,1266930,60.0,240.0
핸디스틱청소기,샤오미,드리미 T20,296100,70.0,250.0
핸디스틱청소기,샤오미,드리미 V12,327800,90.0,270.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957E4,843730,60.0,220.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20A956A3P,470370,60.0,210.0
핸디스틱청소기,DIBEA,차이슨 ALLNEW22000 (2022년형),179000,40.0,350.0
핸디스틱청소기,블루필,몽땅 BVC201,89308,30.0,150.0
핸디스틱청소기,솔리스,AIR651V,63760,15.0,30.0
핸디스틱청소기,삼성전자,제트 VS15R8543Q4CW,394670,40.0,150.0
핸디스틱청소기,일렉트로룩스,에르고라피도 파워프로 ZB3424BL,230330,48.0,120.0
핸디스틱청소기,한빛시스템,HV-5099,77790,40.0,48.0
핸디스틱청소기,비즈포비즈,클래파 BVC-H10,41900,20.0,60.0
핸디스틱청소기,다이슨,V12 디텍트 슬림,1043820,60.0,150.0
핸디스틱청소기,마끼다,DCL180Z,47400,20.0,30.0
핸디스틱청소기,테팔,엑스포스 8.60 라이트 TY9635KO,219890,45.0,120.0
핸디스틱청소기,일렉트로룩스,WELL Q6 WQ61-1OGG,184640,45.0,45.0
핸디스틱청소기,LG전자,코드제로 A9S AT9401IB,709600,60.0,210.0
핸디스틱청소기,캐치웰,NEW F7 플러스,83650,35.0,220.0
핸디스틱청소기,테팔,엑스퍼트 6.60 TY6831,144690,45.0,35.0
핸디스틱청소기,테팔,에어포스360라이트 아쿠아 TY5584,643160,30.0,35.0
핸디스틱청소기,한빛시스템,HV-5088,77130,40.0,35.0
핸디스틱청소기,테팔,엑스퍼트 3.60 TY6921,156990,45.0,35.0
핸디스틱청소기,블랙앤데커,파워 익스트림 TBSV2020,152930,60.0,40.0
핸디스틱청소기,테팔,에어포스360라이트 아쿠아 TY5586,532530,28.0,40.0
핸디스틱청소기,삼성전자,제트 VS20T9258SDCC,477520,60.0,200.0
핸디스틱청소기,테팔,엑스포스 8.60 라이트 TY9634KO,257000,45.0,200.0
핸디스틱청소기,DIBEA,AUTO17000,89000,80.0,170.0
