,상호,점수,위치,메뉴
0,원강,4.1, 서울특별시 강남구 학동로6길 16,소구이/불고기
1,스시려 프리미엄,4.7, 서울특별시 서초구 효령로77길 34,일식
2,영동삼미숯불갈비,4.2, 서울특별시 강남구 학동로2길 30,돼지갈비
3,강남교자 본점,4.1, 서울특별시 서초구 강남대로69길 11,칼국수/국수
4,리북집,4.1, 서울특별시 강남구 학동로2길 45,족발/보쌈
5,아빠곰수제돈까스,4.5, 서울특별시 서초구 사평대로56길 7 서초한일유앤아이주상복합,경양식/돈가스
6,도치피자 강남점,4.4, 서울특별시 강남구 강남대로98길 27,이탈리안
7,청류벽,4.2, 서울특별시 서초구 서초대로74길 29,칼국수/국수
8,함지곱창,4.2, 서울특별시 강남구 학동로2길 33,곱창/대창
9,히까리,4.2, 서울특별시 강남구 강남대로 506,우동/소바
10,아나고야,4.1, 서울특별시 강남구 강남대로124길 3-9,해물탕/해물요리
11,시골야채된장,4.0, 서울특별시 서초구 강남대로69길 11,비빔밥/돌솥밥/쌈밥
12,강남원주추어탕,4.0, 서울특별시 강남구 강남대로110길 6,해물탕/해물요리
13,배꼽집,3.9, 서울특별시 강남구 강남대로128길 22,육회/육사시미
14,노들강 본채,3.9, 서울특별시 강남구 강남대로114길 21,남도요리
15,띠엘로,3.8, 서울특별시 강남구 강남대로94길 14,유러피안
16,맛보리생돼지김치두루치기,3.7, 서울특별시 서초구 사임당로 180,한정식
17,큐리오,0.0, 서울특별시 서초구 서운로 226 ,프렌치
18,위트앤미트W&M,0.0, 서울특별시 강남구 강남대로110길 32,버거
19,봉피양제주 강남점,4.2, 서울특별시 서초구 강남대로 359 대우도씨에빛2 ,냉면/막국수
